file,time,memory,fixed,moving,error
ants-benchmark.o693364.5,9688,15523224,0.75,0.3,
ants-benchmark.o693364.50,9840,9260820,0.7,0.75,
ants-benchmark.o693364.51,7312,6444876,0.8,0.75,
ants-benchmark.o693364.52,5459,4713764,0.9,0.75,
ants-benchmark.o693364.53,1246,1489980,1.5,0.75,
ants-benchmark.o693364.54,3849,3573660,1,0.75,
ants-benchmark.o693364.55,492.7,969924,2,0.75,
ants-benchmark.o693364.56,,30910712,0.3,0.7,itk::MemoryAllocationError (0x7f1b78000940)
ants-benchmark.o693364.57,,31004044,0.4,0.7,
ants-benchmark.o693364.58,2.984e+04,24376596,0.5,0.7,
ants-benchmark.o693364.59,1.828e+04,14384200,0.6,0.7,
ants-benchmark.o693364.6,1.184e+04,17174324,0.7,0.3,
ants-benchmark.o693364.60,9226,7734188,0.75,0.7,
ants-benchmark.o693364.61,1.08e+04,9379092,0.7,0.7,
ants-benchmark.o693364.62,8167,6571568,0.8,0.7,
ants-benchmark.o693364.63,5375,4795112,0.9,0.7,
ants-benchmark.o693364.64,1146,1607708,1.5,0.7,
ants-benchmark.o693364.65,3845,3692036,1,0.7,
ants-benchmark.o693364.66,505.1,1114444,2,0.7,
ants-benchmark.o693364.67,,30829896,0.3,0.8,Description: itk::ERROR: MultiThreader(0x53bbd30): Exception occurred during SingleMethodExecute itk::MemoryAllocationError (0x7f14500849d0)
ants-benchmark.o693364.68,,31529608,0.4,0.8,
ants-benchmark.o693364.69,3.027e+04,24142392,0.5,0.8,
ants-benchmark.o693364.7,8522,14393584,0.8,0.3,
ants-benchmark.o693364.70,1.818e+04,14170500,0.6,0.8,
ants-benchmark.o693364.71,8993,7522572,0.75,0.8,
ants-benchmark.o693364.72,1.082e+04,9222024,0.7,0.8,
ants-benchmark.o693364.73,7965,6386444,0.8,0.8,
ants-benchmark.o693364.74,5356,4636116,0.9,0.8,
ants-benchmark.o693364.75,1185,1400516,1.5,0.8,
ants-benchmark.o693364.76,3863,3521312,1,0.8,
ants-benchmark.o693364.77,506.7,878092,2,0.8,
ants-benchmark.o693364.78,,30574296,0.3,0.9,itk::MemoryAllocationError (0x7f849c000940)
ants-benchmark.o693364.79,,31891404,0.4,0.9,Description: itk::ERROR: SyNImageRegistrationMethod(0x4d6dd50): Caught exception: /opt/quarantine/ANTs/git/src/build/ITKv4-install/include/ITK-4.10/itkImportImageContainer.hxx:199:
ants-benchmark.o693364.8,5701,12620060,0.9,0.3,
ants-benchmark.o693364.80,2.967e+04,24005836,0.5,0.9,
ants-benchmark.o693364.81,1.847e+04,14028636,0.6,0.9,
ants-benchmark.o693364.82,9565,7428568,0.75,0.9,
ants-benchmark.o693364.83,1.088e+04,9036588,0.7,0.9,
ants-benchmark.o693364.84,8001,6256280,0.8,0.9,
ants-benchmark.o693364.85,5355,4532712,0.9,0.9,
ants-benchmark.o693364.86,1167,1270692,1.5,0.9,
ants-benchmark.o693364.87,3890,3355244,1,0.9,
ants-benchmark.o693364.88,534.7,737780,2,0.9,
ants-benchmark.o693364.89,,30358300,0.3,1.5,itk::MemoryAllocationError (0x7f69a0000940) itk::MemoryAllocationError (0x7f69a00845f0)
ants-benchmark.o693364.9,1424,10467636,1.5,0.3,
ants-benchmark.o693364.90,,31630684,0.4,1.5,Description: itk::ERROR: SyNImageRegistrationMethod(0x5376110): Caught exception: /opt/quarantine/ANTs/git/src/build/ITKv4-install/include/ITK-4.10/itkImportImageContainer.hxx:199:
ants-benchmark.o693364.91,2.94e+04,23745108,0.5,1.5,
ants-benchmark.o693364.92,1.805e+04,13790000,0.6,1.5,
ants-benchmark.o693364.93,9131,7146212,0.75,1.5,
ants-benchmark.o693364.94,1.095e+04,8800880,0.7,1.5,
ants-benchmark.o693364.95,8093,5995000,0.8,1.5,
ants-benchmark.o693364.96,5368,4232376,0.9,1.5,
ants-benchmark.o693364.97,1171,1034360,1.5,1.5,
ants-benchmark.o693364.98,3853,3119192,1,1.5,
ants-benchmark.o693364.99,603.9,499980,2,1.5,
ants-benchmark.o693365.1,,31541028,0.3,0.3,Description: itk::ERROR: MultiThreader(0x3666750): Exception occurred during SingleMethodExecute Description: itk::ERROR: MultiThreader(0x36663d0): Exception occurred during SingleMethodExecute Description: itk::ERROR: MultiThreader(0x36663d0): Exception occurred during SingleMethodExecute Description: itk::ERROR: SyNImageRegistrationMethod(0x367c860): Caught exception: /opt/quarantine/ANTs/git/src/build/ITKv4-install/include/ITK-4.10/itkImportImageContainer.hxx:199:
ants-benchmark.o693365.10,4344,12290788,1,0.3,
ants-benchmark.o693365.100,,30766612,0.3,1,itk::MemoryAllocationError (0x7f7b84000940)
ants-benchmark.o693365.101,,31982884,0.4,1,itk::MemoryAllocationError (0x7fb2a8000940)
ants-benchmark.o693365.102,2.385e+04,21442288,0.5,1,
ants-benchmark.o693365.103,1.453e+04,12521656,0.6,1,
ants-benchmark.o693365.104,8044,6595696,0.75,1,
ants-benchmark.o693365.105,1.034e+04,8077892,0.7,1,
ants-benchmark.o693365.106,6389,5583404,0.8,1,
ants-benchmark.o693365.107,4920,4030516,0.9,1,
ants-benchmark.o693365.108,1091,1107376,1.5,1,
ants-benchmark.o693365.109,3864,2994788,1,1,
ants-benchmark.o693365.11,859,11511644,2,0.3,
ants-benchmark.o693365.110,474.9,658432,2,1,
ants-benchmark.o693365.111,,30693320,0.3,2,itk::MemoryAllocationError (0x7fd168000940)
ants-benchmark.o693365.112,,31749132,0.4,2,itk::MemoryAllocationError (0x7f0fbc000940)
ants-benchmark.o693365.113,2.393e+04,21265120,0.5,2,
ants-benchmark.o693365.114,1.436e+04,12307376,0.6,2,
ants-benchmark.o693365.115,7885,6373556,0.75,2,
ants-benchmark.o693365.116,1.033e+04,7795384,0.7,2,
ants-benchmark.o693365.117,6412,5278104,0.8,2,
ants-benchmark.o693365.118,5153,3788500,0.9,2,
ants-benchmark.o693365.119,1151,892984,1.5,2,
ants-benchmark.o693365.12,,31178180,0.3,0.4,itk::MemoryAllocationError (0x7ff3a8000940)
ants-benchmark.o693365.120,3841,2781768,1,2,
ants-benchmark.o693365.121,467,427288,2,2,
ants-benchmark.o693365.13,,31508208,0.4,0.4,
ants-benchmark.o693365.14,2.42e+04,25180732,0.5,0.4,
ants-benchmark.o693365.15,1.496e+04,16311280,0.6,0.4,
