file,time,memory,fixed,moving,error
logs/ants-benchmark.o693365.57,,32476944,76438026,16050825,itk::MemoryAllocationError (0x7f88bc000940)
logs/ants-benchmark.o693365.58,2.414e+04,21985864,39155508,16050825,
logs/ants-benchmark.o693365.59,1.544e+04,13020012,22658580,16050825,
logs/ants-benchmark.o693365.6,1.064e+04,17237696,14288400,202217000,
logs/ants-benchmark.o693365.60,7972,7101652,11640048,16050825,
logs/ants-benchmark.o693365.61,1.032e+04,8516996,14288400,16050825,
logs/ants-benchmark.o693365.62,6424,6024140,9598176,16050825,
logs/ants-benchmark.o693365.63,5210,4506420,6790420,16050825,
logs/ants-benchmark.o693365.64,1148,1603876,1455006,16050825,
logs/ants-benchmark.o693365.65,3821,3473596,4905537,16050825,
logs/ants-benchmark.o693365.66,493.7,1147108,624264,16050825,
logs/ants-benchmark.o693365.67,,30328424,180539778,10792704,itk::MemoryAllocationError (0x7f94d0000940)
logs/ants-benchmark.o693365.68,,32250040,76438026,10792704,itk::MemoryAllocationError (0x7fce00000940)
logs/ants-benchmark.o693365.69,2.376e+04,21731052,39155508,10792704,
logs/ants-benchmark.o693365.7,6068,14739636,9598176,202217000,
logs/ants-benchmark.o693365.70,1.469e+04,12781592,22658580,10792704,
logs/ants-benchmark.o693365.71,7990,6897568,11640048,10792704,
logs/ants-benchmark.o693365.72,1.044e+04,8263400,14288400,10792704,
logs/ants-benchmark.o693365.73,6454,5746168,9598176,10792704,
logs/ants-benchmark.o693365.74,5259,4266780,6790420,10792704,
logs/ants-benchmark.o693365.75,1146,1359652,1455006,10792704,
logs/ants-benchmark.o693365.76,3828,3224964,4905537,10792704,
logs/ants-benchmark.o693365.77,510.4,887716,624264,10792704,
logs/ants-benchmark.o693365.78,,30222220,180539778,7528360,Description: itk::ERROR: MultiThreader(0x3caa3e0): Exception occurred during SingleMethodExecute itk::MemoryAllocationError (0x7fdc34000940)
logs/ants-benchmark.o693365.79,,32086228,76438026,7528360,itk::MemoryAllocationError (0x7fb008000940)
logs/ants-benchmark.o693365.8,5770,13215388,6790420,202217000,
logs/ants-benchmark.o693365.80,2.411e+04,21591764,39155508,7528360,
logs/ants-benchmark.o693365.81,1.457e+04,12626480,22658580,7528360,
logs/ants-benchmark.o693365.82,7940,6780240,11640048,7528360,
logs/ants-benchmark.o693365.83,1.038e+04,8145372,14288400,7528360,
logs/ants-benchmark.o693365.84,6389,5684280,9598176,7528360,
logs/ants-benchmark.o693365.85,5176,4123284,6790420,7528360,
logs/ants-benchmark.o693365.86,1124,1199156,1455006,7528360,
logs/ants-benchmark.o693365.87,3819,3113824,4905537,7528360,
logs/ants-benchmark.o693365.88,533.8,740756,624264,7528360,
logs/ants-benchmark.o693365.89,,29928804,180539778,1631700,itk::MemoryAllocationError (0x7f212c000940)
logs/ants-benchmark.o693365.9,1611,11647480,1455006,202217000,
logs/ants-benchmark.o693365.90,,31801180,76438026,1631700,itk::MemoryAllocationError (0x7f8c08000940)
logs/ants-benchmark.o693365.91,2.421e+04,21255932,39155508,1631700,
logs/ants-benchmark.o693365.92,1.43e+04,12368900,22658580,1631700,
logs/ants-benchmark.o693365.93,7993,6437732,11640048,1631700,
logs/ants-benchmark.o693365.94,1.027e+04,7850816,14288400,1631700,
logs/ants-benchmark.o693365.95,6412,5332160,9598176,1631700,
logs/ants-benchmark.o693365.96,5197,3830320,6790420,1631700,
logs/ants-benchmark.o693365.97,1052,941828,1455006,1631700,
logs/ants-benchmark.o693365.98,3866,2802924,4905537,1631700,
logs/ants-benchmark.o693365.99,482.2,465220,624264,1631700,
